hkl	d/A    2Theta/deg
111	3.1355 	9.14628
220	1.9201 	14.96249
311 	1.6374 	17.56393
222 	1.5677 	18.35156
400 	1.3577 	21.22116
331 	1.2459 	23.15043
422 	1.1085 	26.06643
333 	1.0451 	27.67815
511 	1.0451 	27.67815
440 	0.9600 	30.18796
531 	0.9179 	31.60668
442 	0.9051 	32.0635
620 	0.8586 	33.85153
533 	0.8281 	35.13871
622 	0.8187 	35.55841
444 	0.7838 	37.19614
711 	0.7604 	38.38497
551 	0.7604 	38.38497
642 	0.7257 	40.30023
620	0.8587164986	1.4887100395
444	0.783897328	1.6308093067
533	0.8282197355	1.5435306747
551	0.7604921136	1.6810032999
553	0.7070559755	1.808056197
555	0.6271178624	2.0385503059
660	0.6400494881	1.9973590155
622	0.8187540562	1.5613766498
642	0.7257479024	1.7614852752
644	0.6586054898	1.9410786005
662	0.6229784253	2.0520970816
664	0.5789465453	2.2081883009
666	0.5225982187	2.4463170932
800	0.678875	1.8831175539
711	0.7604921136	1.6810032999
731	0.7070559755	1.808056197
733	0.6635022523	1.9267517475
751	0.6271178624	2.0385503059
753	0.596129696	2.1445308045
755	0.5458360375	2.3421554864
771	0.5458360375	2.3421554864
773	0.5250345872	2.4349635014
775	0.4896967786	2.6107062316
777	0.4479413303	2.8541148328
822	0.6400494881	1.9973590155
840	0.6072042593	2.1054130996
842	0.5925706809	2.1574125011
844	0.5542991164	2.3063904253
862	0.532553365	2.4005807601
864	0.5042556908	2.5353172323
866	0.465704408	2.745230858
880	0.4800371161	2.6632501547
911	0.596129696	2.1445308045
931	0.5693234948	2.2455171703
933	0.5458360375	2.3421554864
